Year,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Avg,S/R,Ca,St
2009,14,9,3,0,2,1,60*,201,33.5,75.28,5,0
2010,21,13,2,0,2,2,61*,334,30.36,78.04,6,0
2011,13,10,3,0,1,1,78,220,31.43,86.96,7,0
2012,10,8,2,0,0,0,24*,105,17.5,71.92,3,0
2013,34,21,8,0,1,0,61*,462,35.54,80.91,12,0
2014,17,14,8,0,4,1,87,369,61.5,110.15,5,0
2015,12,8,1,0,0,0,32,113,16.14,83.09,4,0
2016,5,4,3,0,0,0,24*,45,45,107.14,1,0
2017,10,6,2,0,0,0,16*,65,16.25,98.48,8,0
2018,8,4,1,0,0,0,25,68,22.67,80,0,0
2019,15,9,3,0,1,1,77,206,34.33,96.26,7,0
2020,9,7,3,0,2,0,66*,223,55.75,98.67,2,0
2022,3,2,1,0,0,0,29,36,36,61.02,3,0
2023,26,17,7,0,0,0,45*,309,30.9,75,11,0
